name,stars,bath_number,bed_number,rooms_number,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,latitude,longitude
Rental unit in Barcelona,4.33,2 baths,6 beds,3 bedrooms,71615,Mireia  Maria,Eixample,la Sagrada Família,Entire home/apt,121.0,1,40,2023-11-07,0.31,30,39,7,HUTB-002062,41.4056,2.1726
Rental unit in Barcelona,4.69,2 baths,6 beds,4 bedrooms,971768,Laura,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Entire home/apt,304.0,2,105,2023-10-16,0.74,9,137,26,HUTB-000926,41.408,2.2149
Rental unit in Sant Adria de Besos,4.77,2 baths,4 beds,3 bedrooms,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,Entire home/apt,200.0,3,75,2023-11-25,0.48,2,300,11,HUTB005057,41.4124,2.2198
Rental unit in Barcelona,4.48,1.5 baths,3 beds,2 bedrooms,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,79.0,1,99,2023-10-18,0.66,3,297,16,HUTB-001722,41.4057,2.1702
Condo in Barcelona,3.40,1 bath,1 bed,1 bedroom,73163,Andres,Ciutat Vella,el Barri Gòtic,Entire home/apt,120.0,5,8,2013-07-15,0.05,3,90,0,Exempt,41.3806,2.1752
Rental unit in Barcelona,4.71,1 bath,2 beds,2 bedrooms,1013855,Alejandro,Gràcia,la Vila de Gràcia,Entire home/apt,120.0,4,244,2023-12-11,1.67,1,129,44,HUTB-004315,41.3988,2.1589
Rental unit in Barcelona,4.88,1 bath,1 bed,1 bedroom,1014050,Minerva,Sants-Montjuïc,el Poble Sec,Entire home/apt,150.0,3,142,2023-10-12,0.96,1,0,22,HUTB-009804,41.3724,2.1648
Rental unit in Barcelona,4.53,3 baths,6 beds,4 bedrooms,73163,Andres,Ciutat Vella,el Barri Gòtic,Entire home/apt,226.0,5,217,2023-11-26,1.35,3,228,27,HUTB-150671,41.3798,2.1762
Rental unit in Barcelona,4.80,1 shared bath,1 bed,1 bedroom,158596,Ester,Ciutat Vella,la Barceloneta,Private room,30.0,31,108,2023-10-10,0.73,1,210,4,,41.3804,2.1909
Rental unit in Barcelona,4.78,1 bath,3 beds,2 bedrooms,1033366,Elena,Gràcia,la Vila de Gràcia,Entire home/apt,81.0,2,339,2023-11-17,2.54,1,235,31,HUTB-010932,41.398,2.1553
