,category,fsq_id,categories,chains,closed_bucket,distance,geocodes,link,location,name,related_places,timezone
0,Comedy Club,554d3d9e498e808018c34329,"[{'id': 10010, 'name': 'Comedy Club', 'short_name': 'Comedy Club', 'plural_name': 'Comedy Clubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/comedyclub_', 'suffix': '.png'}}]",[],Unsure,1954.0,"{'main': {'latitude': 41.387942, 'longitude': 41.413225}}",/v3/places/554d3d9e498e808018c34329,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Işıklı Kayalar,{},Europe/Istanbul
1,Night Club,536d3c00498ee6d4dd16f5ea,"[{'id': 10032, 'name': 'Night Club', 'short_name': 'Night Club', 'plural_name': 'Night Clubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}]",[],LikelyOpen,1852.0,"{'main': {'latitude': 41.386962, 'longitude': 41.411833}}",/v3/places/536d3c00498ee6d4dd16f5ea,"{'country': 'TR', 'cross_street': '', 'formatted_address': '08200 Hopa', 'locality': 'Hopa', 'postcode': '08200', 'region': 'Artvin'}",Show Disko,{},Europe/Istanbul
2,Night Club,5143a053e4b0ab7c8674f013,"[{'id': 10032, 'name': 'Night Club', 'short_name': 'Night Club', 'plural_name': 'Night Clubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}]",[],Unsure,1832.0,"{'main': {'latitude': 41.386576, 'longitude': 41.411472}}",/v3/places/5143a053e4b0ab7c8674f013,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Okyanus Dısko,{},Europe/Istanbul
3,Night Club,58d82c5f0037eb26cc3fdc71,"[{'id': 10032, 'name': 'Night Club', 'short_name': 'Night Club', 'plural_name': 'Night Clubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}]",[],Unsure,1949.0,"{'main': {'latitude': 41.388036, 'longitude': 41.413178}}",/v3/places/58d82c5f0037eb26cc3fdc71,"{'address': 'Sahil Cad 20', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Sahil Cad 20, Hopa', 'locality': 'Hopa', 'region': 'Artvin'}",Malibu Disco,"{'children': [{'fsq_id': '58d82d6d52e32d0cc4ed6fdf', 'categories': [{'id': 10032, 'name': 'Night Club', 'short_name': 'Night Club', 'plural_name': 'Night Clubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}], 'name': 'Malıbu Dısco'}]}",Europe/Istanbul
4,Dinning and Drinking,4ebc1f9429c239ccef9517d8,"[{'id': 13338, 'name': 'Seafood Restaurant', 'short_name': 'Seafood', 'plural_name': 'Seafood Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}, {'id': 17121, 'name': 'Fishing Store', 'short_name': 'Fishing Store', 'plural_name': 'Fishing Stores', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_fishmarket_', 'suffix': '.png'}}]",[],LikelyOpen,1343.0,"{'main': {'latitude': 41.379728, 'longitude': 41.398847}}",/v3/places/4ebc1f9429c239ccef9517d8,"{'address': 'Sugören Köyü', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Sugören Köyü, 08690 Hopa', 'locality': 'Hopa', 'postcode': '08690', 'region': 'Artvin'}",Balık Restaurant,{},Europe/Istanbul
5,Dinning and Drinking,5543ee27498e2185e696bd2c,"[{'id': 13005, 'name': 'Beach Bar', 'short_name': 'Beach Bar', 'plural_name': 'Beach Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",[],LikelyOpen,1411.0,"{'main': {'latitude': 41.379811, 'longitude': 41.400161}}",/v3/places/5543ee27498e2185e696bd2c,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Hopa Sahili,{},Europe/Istanbul
6,Dinning and Drinking,52dcf8d311d2701d4298525e,"[{'id': 13018, 'name': 'Pub', 'short_name': 'Pub', 'plural_name': 'Pubs', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],LikelyOpen,1999.0,"{'main': {'latitude': 41.388689, 'longitude': 41.413806}}",/v3/places/52dcf8d311d2701d4298525e,"{'address': 'Rize Yol Üzeri Terzioğlu Otel Alti', 'country': 'TR', 'cross_street': 'RİZE CADDESİ', 'formatted_address': 'Rize Yol Üzeri Terzioğlu Otel Alti (RİZE CADDESİ), 08600 Hopa', 'locality': 'Hopa', 'postcode': '08600', 'region': 'Artvin'}",Terzioğlu Cafe & Bar,{},Europe/Istanbul
7,Dinning and Drinking,54294914498eeb0e3aeb46f0,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],Unsure,1873.0,"{'main': {'latitude': 41.387269, 'longitude': 41.412305}}",/v3/places/54294914498eeb0e3aeb46f0,"{'address': 'Terminal Yanı', 'country': 'TR', 'cross_street': '', 'formatted_address': 'Terminal Yanı, 08600 Artvin', 'locality': 'Artvin', 'postcode': '08600'}",Donkişot Cafe & Bar,{},Europe/Istanbul
8,Dinning and Drinking,53ec9e0b498e33680fd82049,"[{'id': 13062, 'name': 'Night Market', 'short_name': 'Night Market', 'plural_name': 'Night Markets', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/fleamarket_', 'suffix': '.png'}}]",[],Unsure,1521.0,"{'main': {'latitude': 41.386524, 'longitude': 41.407622}}",/v3/places/53ec9e0b498e33680fd82049,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Köşem Tekel,{},Europe/Istanbul
9,Dinning and Drinking,5012e779e4b0b96017867a62,"[{'id': 13003, 'name': 'Bar', 'short_name': 'Bar', 'plural_name': 'Bars', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",[],LikelyOpen,1540.0,"{'main': {'latitude': 41.379596, 'longitude': 41.40217}}",/v3/places/5012e779e4b0b96017867a62,"{'country': 'TR', 'cross_street': '', 'formatted_address': ''}",Batumi Mari,{},Europe/Istanbul
