Ramas de actividad,Año,Total,Código
"Agricultura, ganadería, silvicultura y pesca",2021,884324,2
"Agricultura, ganadería, silvicultura y pesca",2020,768976,2
"Agricultura, ganadería, silvicultura y pesca",2019,791464,2
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1397006,2
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1194438,2
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1207915,2
- De las cuales: Industria manufacturera,2021,1018831,2
- De las cuales: Industria manufacturera,2020,910902,2
- De las cuales: Industria manufacturera,2019,918972,2
Construcción,2021,465911,2
Construcción,2020,415182,2
Construcción,2019,497842,2
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1559382,2
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1341669,2
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1646811,2
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1440261,2
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1392792,2
"Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1389258,2
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2091603,2
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2055063,2
"Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2153181,2
añadido bruto total,2021,7838487,2
añadido bruto total,2020,7168120,2
añadido bruto total,2019,7686471,2
netos sobre los productos,2021,825327,2
netos sobre los productos,2020,687436,2
netos sobre los productos,2019,788599,2
INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8663814,2
INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7855556,2
INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8475070,2
"Agricultura, ganadería, silvicultura y pesca",2021,547312,3
"Agricultura, ganadería, silvicultura y pesca",2020,645872,3
"Agricultura, ganadería, silvicultura y pesca",2019,576207,3
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3627964,3
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3166272,3
"Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3280477,3
- De las cuales: Industria manufacturera,2021,2916222,3
- De las cuales: Industria manufacturera,2020,2559700,3
- De las cuales: Industria manufacturera,2019,2686800,3
Construcción,2021,2556047,3
Construcción,2020,2436323,3
Construcción,2019,2867928,3
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,9851680,3
"Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,8362099,3
