Año,Total,Código Provincia,ID_Grupo_Edad,Id_Nacional_Extranjero,ID_Sexo
2021,27304,02,1,1,1
2020,27979,02,1,1,1
2019,28513,02,1,1,1
2021,25547,02,1,1,2
2020,25953,02,1,1,2
2019,26515,02,1,1,2
2021,2452,02,1,2,1
2020,2445,02,1,2,1
2019,2278,02,1,2,1
2021,2248,02,1,2,2
2020,2191,02,1,2,2
2019,2157,02,1,2,2
2021,118339,02,2,1,1
2020,118606,02,2,1,1
2019,119164,02,2,1,1
2021,114163,02,2,1,2
2020,114793,02,2,1,2
2019,115270,02,2,1,2
2021,11655,02,2,2,1
2020,11488,02,2,2,1
2019,10695,02,2,2,1
2021,9637,02,2,2,2
2020,9436,02,2,2,2
2019,8781,02,2,2,2
2021,33108,02,3,1,1
2020,33242,02,3,1,1
2019,32971,02,3,1,1
2021,41204,02,3,1,2
2020,41373,02,3,1,2
2019,41148,02,3,1,2
2021,347,02,3,2,1
2020,321,02,3,2,1
2019,290,02,3,2,1
2021,460,02,3,2,2
2020,443,02,3,2,2
2019,385,02,3,2,2
2021,121579,03,1,1,1
2020,123879,03,1,1,1
2019,125807,03,1,1,1
2021,114198,03,1,1,2
2020,116230,03,1,1,2
2019,118118,03,1,1,2
2021,25690,03,1,2,1
2020,26167,03,1,2,1
2019,24426,03,1,2,1
2021,24468,03,1,2,2
2020,24953,03,1,2,2
2019,23344,03,1,2,2
2021,490091,03,2,1,1
2020,488873,03,2,1,1
2019,488464,03,2,1,1
2021,480834,03,2,1,2
2020,480020,03,2,1,2
2019,480081,03,2,1,2
2021,123928,03,2,2,1
2020,124773,03,2,2,1
2019,116977,03,2,2,1
2021,122417,03,2,2,2
2020,121991,03,2,2,2
2019,114914,03,2,2,2
2021,132094,03,3,1,1
2020,129671,03,3,1,1
2019,127087,03,3,1,1
2021,169543,03,3,1,2
2020,166597,03,3,1,2
2019,163672,03,3,1,2
2021,38636,03,3,2,1
2020,38493,03,3,2,1
2019,38154,03,3,2,1
2021,38284,03,3,2,2
2020,38241,03,3,2,2
2019,37639,03,3,2,2
