Energía (MWh),Porcentage de Generación Renovable,COD-CCAA,Año,Mes,Tipo de energía
25288.605,0.0295168516408729,4,2019,1,1
33933.35,0.0307789367489006,4,2019,2,1
35913.0,0.0296445386297287,4,2019,3,1
44050.848,0.0413396613811428,4,2019,4,1
88535.452,0.0684968335557468,4,2019,5,1
92464.391,0.0791740014735905,4,2019,6,1
91236.63,0.0792833734193486,4,2019,7,1
80161.437,0.0665704383980414,4,2019,8,1
40095.141,0.0450968948847209,4,2019,9,1
21984.146,0.0245858157435164,4,2019,10,1
21611.63,0.0206324108893118,4,2019,11,1
33252.448,0.0330008791630564,4,2019,12,1
547209.843,0.6387031531496647,4,2019,1,2
714535.96,0.6481133491875982,4,2019,2,2
705153.705,0.5820721256305187,4,2019,3,2
607656.868,0.5702575614218778,4,2019,4,2
612356.002,0.4737587734442987,4,2019,5,2
454884.57,0.3895016365326369,4,2019,6,2
456346.421,0.3965587473444193,4,2019,7,2
495339.705,0.4113571631432519,4,2019,8,2
375841.662,0.4227268317752717,4,2019,9,2
430931.821,0.4819295845799073,4,2019,10,2
764217.456,0.7295908990194919,4,2019,11,2
684672.055,0.6794922212456832,4,2019,12,2
100175.137,0.1169243877601442,4,2019,1,3
119956.735,0.1088056663774615,4,2019,2,3
147364.111,0.1216423323357872,4,2019,3,3
132367.448,0.1242206615002288,4,2019,4,3
172457.989,0.1334248134622029,4,2019,5,3
166634.356,0.1426831302819571,4,2019,6,3
175669.523,0.1526543932015885,4,2019,7,3
182499.378,0.1515574577440505,4,2019,8,3
169840.831,0.1910279877240148,4,2019,9,3
174440.057,0.1950838162960942,4,2019,10,3
101305.46,0.0967153276291861,4,2019,11,3
120605.521,0.1196930892101078,4,2019,12,3
74526.679,0.0869875158131483,4,2019,1,4
125159.24,0.1135245512600575,4,2019,2,4
194932.656,0.1609079901703454,4,2019,3,4
170591.365,0.1600920205587628,4,2019,4,4
330398.724,0.2556181269042274,4,2019,5,4
341081.315,0.29205591735768,4,2019,6,4
296144.8,0.2573457476958357,4,2019,7,4
311366.833,0.2585760354498104,4,2019,8,4
183963.277,0.2069121683726662,4,2019,9,4
138110.375,0.154454770816113,4,2019,10,4
35561.83,0.0339505298089897,4,2019,11,4
38142.147,0.0378535855214791,4,2019,12,4
109551.171,0.1278680916361698,4,2019,1,5
108900.817,0.0987774964259821,4,2019,2,5
128090.7,0.1057330132336198,4,2019,3,5
110916.655,0.1040900951379878,4,2019,4,5
88799.932,0.068701452633524,4,2019,5,5
112798.42,0.0965853143541354,4,2019,6,5
131368.872,0.1141577383388076,4,2019,7,5
134792.315,0.1119389052648456,4,2019,8,5
119347.819,0.1342361172433262,4,2019,9,5
128713.653,0.1439460125643688,4,2019,10,5
124763.861,0.1191108326530203,4,2019,11,5
130950.924,0.1299602248596733,4,2019,12,5
43652.072,0.0588010856657207,4,2020,1,1
31195.375,0.0319109317567246,4,2020,2,1
28665.354,0.0254481491561974,4,2020,3,1
36060.911,0.0305388479066237,4,2020,4,1
53778.995,0.0373552893091331,4,2020,5,1
80407.323,0.0571201098826037,4,2020,6,1
97704.613,0.064009002529589,4,2020,7,1
84337.254,0.0609187860850597,4,2020,8,1
42483.781,0.0317723955228838,4,2020,9,1
17755.557,0.0147287483302982,4,2020,10,1
9664.39,0.0093466223374052,4,2020,11,1
19656.556,0.0188819479157736,4,2020,12,1
353679.441,0.476420342852115,4,2020,1,2
472449.362,0.4832863637411032,4,2020,2,2
626781.016,0.5564353673581351,4,2020,3,2
660929.653,0.5597204726731569,4,2020,4,2
640374.893,0.4448091563317648,4,2020,5,2
490236.942,0.3482566879580315,4,2020,6,2
584489.962,0.3829155892176494,4,2020,7,2
463431.146,0.3347472381342659,4,2020,8,2
645826.847,0.4829952875941286,4,2020,9,2
550722.162,0.4568399698199122,4,2020,10,2
596831.057,0.5772070962588822,4,2020,11,2
640398.885,0.6151626150526839,4,2020,12,2
150462.326,0.2026787667854482,4,2020,1,3
227757.467,0.2329817476636031,4,2020,2,3
