Energía (MWh),Porcentage_Generacion,COD-CCAA,Año,Mes
3668893.328,1,4,2019,1
3152278.091,1,4,2019,2
3216356.36,1,4,2019,3
3029639.973,1,4,2019,4
3154123.467,1,4,2019,5
3181997.313,1,4,2019,6
3676269.543,1,4,2019,7
3786647.665,1,4,2019,8
3261926.084,1,4,2019,9
3143205.713,1,4,2019,10
3215694.404,1,4,2019,11
3383670.228,1,4,2019,12
3648510.198,1,4,2020,1
3085375.745,1,4,2020,2
3136155.192,1,4,2020,3
2680249.534,1,4,2020,4
2833738.348,1,4,2020,5
2999931.629,1,4,2020,6
3944796.05,1,4,2020,7
3852523.918,1,4,2020,8
3248747.485,1,4,2020,9
3070190.647,1,4,2020,10
3040312.816,1,4,2020,11
3482080.542,1,4,2020,12
3806960.159,1,4,2021,1
3016830.479,1,4,2021,2
3214203.583,1,4,2021,3
2944784.896,1,4,2021,4
3088142.326,1,4,2021,5
3166035.944,1,4,2021,6
3688723.186,1,4,2021,7
3781782.817,1,4,2021,8
3261936.787,1,4,2021,9
3062789.782,1,4,2021,10
3180304.564,1,4,2021,11
3441074.577,1,4,2021,12
957420.099,1,5,2019,1
859577.223,1,5,2019,2
931375.419,1,5,2019,3
861851.879,1,5,2019,4
901078.329,1,5,2019,5
887513.783,1,5,2019,6
947768.672,1,5,2019,7
918355.065,1,5,2019,8
880277.404,1,5,2019,9
883069.114,1,5,2019,10
905361.295,1,5,2019,11
875169.733,1,5,2019,12
936969.954,1,5,2020,1
847063.224,1,5,2020,2
845670.025,1,5,2020,3
715893.499,1,5,2020,4
780472.526,1,5,2020,5
800765.41,1,5,2020,6
883086.548,1,5,2020,7
884240.341,1,5,2020,8
844042.251,1,5,2020,9
848048.821,1,5,2020,10
854810.773,1,5,2020,11
873158.298,1,5,2020,12
899098.143,1,5,2021,1
806734.845,1,5,2021,2
901481.249,1,5,2021,3
835504.911,1,5,2021,4
854555.031,1,5,2021,5
881086.419,1,5,2021,6
914403.06,1,5,2021,7
890945.768,1,5,2021,8
857223.626,1,5,2021,9
842280.712,1,5,2021,10
884111.867,1,5,2021,11
895918.585,1,5,2021,12
755349.344,1,8742,2019,1
678572.401,1,8742,2019,2
738613.341,1,8742,2019,3
701144.535,1,8742,2019,4
724435.551,1,8742,2019,5
714689.013,1,8742,2019,6
765155.245,1,8742,2019,7
788634.096,1,8742,2019,8
752661.657,1,8742,2019,9
773780.358,1,8742,2019,10
734424.275,1,8742,2019,11
747518.318,1,8742,2019,12
756953.464,1,8742,2020,1
705861.132,1,8742,2020,2
682194.297,1,8742,2020,3
548481.932,1,8742,2020,4
581117.603,1,8742,2020,5
602698.837,1,8742,2020,6
679184.288,1,8742,2020,7
712516.545,1,8742,2020,8
684875.592,1,8742,2020,9
674860.239,1,8742,2020,10
652336.766,1,8742,2020,11
665587.715,1,8742,2020,12
648143.584,1,8742,2021,1
576433.134,1,8742,2021,2
640601.157,1,8742,2021,3
615594.768,1,8742,2021,4
638221.977,1,8742,2021,5
637990.222,1,8742,2021,6
702057.86,1,8742,2021,7
728446.23,1,8742,2021,8
724325.74,1,8742,2021,9
734306.806,1,8742,2021,10
703556.805,1,8742,2021,11
719893.229,1,8742,2021,12
376344.812,1,6,2019,1
335609.363,1,6,2019,2
363081.312,1,6,2019,3
358214.104,1,6,2019,4
358357.706,1,6,2019,5
334031.262,1,6,2019,6
349591.357,1,6,2019,7
344327.486,1,6,2019,8
341052.811,1,6,2019,9
347289.235,1,6,2019,10
356017.986,1,6,2019,11
324383.453,1,6,2019,12
341784.053,1,6,2020,1
330739.792,1,6,2020,2
356180.394,1,6,2020,3
287372.937,1,6,2020,4
314378.961,1,6,2020,5
280657.543,1,6,2020,6
319142.121,1,6,2020,7
340134.022,1,6,2020,8
333667.089,1,6,2020,9
351119.216,1,6,2020,10
344154.085,1,6,2020,11
306515.675,1,6,2020,12
301323.586,1,6,2021,1
312051.981,1,6,2021,2
354118.186,1,6,2021,3
334415.536,1,6,2021,4
354486.889,1,6,2021,5
350482.439,1,6,2021,6
345632.751,1,6,2021,7
345589.824,1,6,2021,8
338863.197,1,6,2021,9
328646.412,1,6,2021,10
336095.262,1,6,2021,11
314925.718,1,6,2021,12
1112346.134,1,7,2019,1
988724.576,1,7,2019,2
1039939.791,1,7,2019,3
931138.133,1,7,2019,4
975360.89,1,7,2019,5
1000327.159,1,7,2019,6
1152988.982,1,7,2019,7
1077388.382,1,7,2019,8
931369.774,1,7,2019,9
944877.518,1,7,2019,10
970712.128,1,7,2019,11
1010042.555,1,7,2019,12
1061533.843,1,7,2020,1
939083.828,1,7,2020,2
988619.577,1,7,2020,3
807391.746,1,7,2020,4
917831.634,1,7,2020,5
964355.873,1,7,2020,6
1173169.272,1,7,2020,7
1114481.323,1,7,2020,8
930478.016,1,7,2020,9
926029.016,1,7,2020,10
918647.462,1,7,2020,11
1018731.82,1,7,2020,12
1064675.945,1,7,2021,1
916023.561,1,7,2021,2
1012109.007,1,7,2021,3
945621.257,1,7,2021,4
983773.982,1,7,2021,5
978293.68,1,7,2021,6
1138124.645,1,7,2021,7
1111553.19,1,7,2021,8
942787.008,1,7,2021,9
889166.115,1,7,2021,10
988074.665,1,7,2021,11
1048655.126,1,7,2021,12
1304599.661,1,8,2019,1
1139791.713,1,8,2019,2
1205850.157,1,8,2019,3
1138940.089,1,8,2019,4
1168948.401,1,8,2019,5
1142368.133,1,8,2019,6
1245721.68,1,8,2019,7
1164281.486,1,8,2019,8
1097241.152,1,8,2019,9
1160622.707,1,8,2019,10
1207924.771,1,8,2019,11
1205933.214,1,8,2019,12
1289529.098,1,8,2020,1
1158160.686,1,8,2020,2
1127288.907,1,8,2020,3
903667.226,1,8,2020,4
975778.847,1,8,2020,5
1031437.936,1,8,2020,6
1226900.23,1,8,2020,7
1126916.921,1,8,2020,8
1084962.292,1,8,2020,9
1156341.074,1,8,2020,10
1143244.181,1,8,2020,11
1205269.286,1,8,2020,12
1267533.707,1,8,2021,1
1100679.804,1,8,2021,2
1190666.42,1,8,2021,3
1076771.526,1,8,2021,4
1107577.857,1,8,2021,5
1082119.836,1,8,2021,6
1195913.925,1,8,2021,7
1139478.345,1,8,2021,8
1061815.292,1,8,2021,9
1074792.045,1,8,2021,10
1177942.866,1,8,2021,11
1192721.645,1,8,2021,12
4346165.016,1,9,2019,1
3805809.279,1,9,2019,2
3885658.35,1,9,2019,3
3641927.976,1,9,2019,4
3724228.479,1,9,2019,5
3773188.661,1,9,2019,6
4446351.053,1,9,2019,7
3978863.274,1,9,2019,8
3832204.511,1,9,2019,9
3819970.185,1,9,2019,10
3912259.315,1,9,2019,11
3858858.012,1,9,2019,12
4180533.867,1,9,2020,1
3739391.844,1,9,2020,2
3655675.5,1,9,2020,3
2974661.857,1,9,2020,4
3196176.385,1,9,2020,5
3394330.06,1,9,2020,6
4124597.367,1,9,2020,7
3825701.263,1,9,2020,8
3636332.142,1,9,2020,9
3685266.366,1,9,2020,10
3661150.298,1,9,2020,11
3983099.447,1,9,2020,12
4205890.778,1,9,2021,1
3567341.458,1,9,2021,2
3853996.069,1,9,2021,3
3484744.509,1,9,2021,4
3492614.749,1,9,2021,5
3674121.832,1,9,2021,6
4078621.766,1,9,2021,7
3663381.789,1,9,2021,8
3695619.204,1,9,2021,9
3493176.901,1,9,2021,10
3714667.184,1,9,2021,11
3796545.717,1,9,2021,12
17830.239,1,8744,2019,1
16019.527,1,8744,2019,2
16598.235,1,8744,2019,3
15221.094,1,8744,2019,4
16753.54,1,8744,2019,5
16642.239,1,8744,2019,6
18185.252,1,8744,2019,7
18656.52,1,8744,2019,8
17603.892,1,8744,2019,9
17669.152,1,8744,2019,10
17157.331,1,8744,2019,11
17711.219,1,8744,2019,12
17835.113,1,8744,2020,1
15770.011,1,8744,2020,2
16608.196,1,8744,2020,3
15531.111,1,8744,2020,4
15827.471,1,8744,2020,5
15839.422,1,8744,2020,6
17917.496,1,8744,2020,7
18096.779,1,8744,2020,8
16830.054,1,8744,2020,9
16095.768,1,8744,2020,10
15792.687,1,8744,2020,11
17053.994,1,8744,2020,12
18538.656,1,8744,2021,1
15215.238,1,8744,2021,2
15340.218,1,8744,2021,3
15128.393,1,8744,2021,4
15515.205,1,8744,2021,5
15653.908,1,8744,2021,6
17409.528,1,8744,2021,7
17829.99,1,8744,2021,8
16921.593,1,8744,2021,9
16448.789,1,8744,2021,10
16035.752,1,8744,2021,11
16848.583,1,8744,2021,12
2744878.748,1,13,2019,1
2356460.794,1,13,2019,2
2350064.364,1,13,2019,3
2217591.032,1,13,2019,4
2149296.957,1,13,2019,5
2281728.415,1,13,2019,6
2651654.285,1,13,2019,7
2274433.692,1,13,2019,8
2149610.628,1,13,2019,9
2267264.364,1,13,2019,10
2467031.06,1,13,2019,11
2545189.886,1,13,2019,12
2737334.364,1,13,2020,1
2357438.71,1,13,2020,2
2268882.296,1,13,2020,3
1825502.09,1,13,2020,4
1855359.252,1,13,2020,5
2019611.065,1,13,2020,6
2525218.389,1,13,2020,7
2202008.892,1,13,2020,8
2067050.074,1,13,2020,9
2184994.561,1,13,2020,10
2296506.89,1,13,2020,11
2569037.905,1,13,2020,12
2740894.826,1,13,2021,1
2262499.896,1,13,2021,2
2378553.143,1,13,2021,3
2130429.496,1,13,2021,4
2107378.281,1,13,2021,5
2166515.997,1,13,2021,6
2347371.347,1,13,2021,7
2259789.28,1,13,2021,8
2072075.097,1,13,2021,9
2075335.099,1,13,2021,10
2386503.737,1,13,2021,11
2507655.755,1,13,2021,12
463542.521,1,14,2019,1
412888.134,1,14,2019,2
439192.257,1,14,2019,3
409324.995,1,14,2019,4
439674.461,1,14,2019,5
431270.896,1,14,2019,6
425913.131,1,14,2019,7
403832.721,1,14,2019,8
424695.647,1,14,2019,9
448901.458,1,14,2019,10
441644.372,1,14,2019,11
408815.515,1,14,2019,12
450763.969,1,14,2020,1
422377.178,1,14,2020,2
407204.579,1,14,2020,3
329918.004,1,14,2020,4
377656.588,1,14,2020,5
387263.707,1,14,2020,6
396242.377,1,14,2020,7
391904.088,1,14,2020,8
419135.926,1,14,2020,9
423452.642,1,14,2020,10
427189.248,1,14,2020,11
409950.116,1,14,2020,12
443553.286,1,14,2021,1
410832.434,1,14,2021,2
437964.061,1,14,2021,3
406589.998,1,14,2021,4
426771.793,1,14,2021,5
422513.312,1,14,2021,6
405159.449,1,14,2021,7
391177.128,1,14,2021,8
423399.212,1,14,2021,9
414220.512,1,14,2021,10
437375.677,1,14,2021,11
421278.98,1,14,2021,12
2510836.663,1,15,2019,1
2134019.425,1,15,2019,2
2164887.68,1,15,2019,3
2082313.392,1,15,2019,4
2123696.885,1,15,2019,5
2173952.957,1,15,2019,6
2732096.081,1,15,2019,7
2443273.028,1,15,2019,8
2226532.905,1,15,2019,9
2186210.866,1,15,2019,10
2209449.199,1,15,2019,11
2222962.963,1,15,2019,12
2508069.037,1,15,2020,1
2121198.841,1,15,2020,2
2101279.181,1,15,2020,3
1658367.752,1,15,2020,4
1827469.331,1,15,2020,5
1973106.075,1,15,2020,6
2517075.658,1,15,2020,7
2431482.847,1,15,2020,8
2160161.801,1,15,2020,9
2092023.643,1,15,2020,10
2119833.626,1,15,2020,11
