,value,percentage,datetime,COD-CCAA
0,648143.584,1,2021-01-01T00:00:00.000+01:00,8742
1,576433.134,1,2021-02-01T00:00:00.000+01:00,8742
2,640601.157,1,2021-03-01T00:00:00.000+01:00,8742
3,615594.768,1,2021-04-01T00:00:00.000+02:00,8742
4,638221.977,1,2021-05-01T00:00:00.000+02:00,8742
5,637990.222,1,2021-06-01T00:00:00.000+02:00,8742
6,702057.86,1,2021-07-01T00:00:00.000+02:00,8742
7,728446.23,1,2021-08-01T00:00:00.000+02:00,8742
8,724325.74,1,2021-09-01T00:00:00.000+02:00,8742
9,734306.806,1,2021-10-01T00:00:00.000+02:00,8742
10,703556.805,1,2021-11-01T00:00:00.000+01:00,8742
11,719893.229,1,2021-12-01T00:00:00.000+01:00,8742
