,value,percentage,datetime,COD-CCAA
0,341784.053,1,2020-01-01T00:00:00.000+01:00,6
1,330739.792,1,2020-02-01T00:00:00.000+01:00,6
2,356180.394,1,2020-03-01T00:00:00.000+01:00,6
3,287372.937,1,2020-04-01T00:00:00.000+02:00,6
4,314378.961,1,2020-05-01T00:00:00.000+02:00,6
5,280657.543,1,2020-06-01T00:00:00.000+02:00,6
6,319142.121,1,2020-07-01T00:00:00.000+02:00,6
7,340134.022,1,2020-08-01T00:00:00.000+02:00,6
8,333667.089,1,2020-09-01T00:00:00.000+02:00,6
9,351119.216,1,2020-10-01T00:00:00.000+02:00,6
10,344154.085,1,2020-11-01T00:00:00.000+01:00,6
11,306515.675,1,2020-12-01T00:00:00.000+01:00,6
