,value,percentage,datetime,COD-CCAA
0,1112346.134,1,2019-01-01T00:00:00.000+01:00,7
1,988724.576,1,2019-02-01T00:00:00.000+01:00,7
2,1039939.791,1,2019-03-01T00:00:00.000+01:00,7
3,931138.133,1,2019-04-01T00:00:00.000+02:00,7
4,975360.89,1,2019-05-01T00:00:00.000+02:00,7
5,1000327.159,1,2019-06-01T00:00:00.000+02:00,7
6,1152988.982,1,2019-07-01T00:00:00.000+02:00,7
7,1077388.382,1,2019-08-01T00:00:00.000+02:00,7
8,931369.774,1,2019-09-01T00:00:00.000+02:00,7
9,944877.518,1,2019-10-01T00:00:00.000+02:00,7
10,970712.128,1,2019-11-01T00:00:00.000+01:00,7
11,1010042.555,1,2019-12-01T00:00:00.000+01:00,7
