,value,percentage,datetime,COD-CCAA
0,2740894.826,1,2021-01-01T00:00:00.000+01:00,13
1,2262499.896,1,2021-02-01T00:00:00.000+01:00,13
2,2378553.143,1,2021-03-01T00:00:00.000+01:00,13
3,2130429.496,1,2021-04-01T00:00:00.000+02:00,13
4,2107378.281,1,2021-05-01T00:00:00.000+02:00,13
5,2166515.997,1,2021-06-01T00:00:00.000+02:00,13
6,2347371.347,1,2021-07-01T00:00:00.000+02:00,13
7,2259789.28,1,2021-08-01T00:00:00.000+02:00,13
8,2072075.097,1,2021-09-01T00:00:00.000+02:00,13
9,2075335.099,1,2021-10-01T00:00:00.000+02:00,13
10,2386503.737,1,2021-11-01T00:00:00.000+01:00,13
11,2507655.755,1,2021-12-01T00:00:00.000+01:00,13
