,value,percentage,datetime,COD-CCAA
0,157569.432,1,2019-01-01T00:00:00.000+01:00,20
1,137243.524,1,2019-02-01T00:00:00.000+01:00,20
2,144513.078,1,2019-03-01T00:00:00.000+01:00,20
3,133753.57,1,2019-04-01T00:00:00.000+02:00,20
4,134904.534,1,2019-05-01T00:00:00.000+02:00,20
5,133645.37,1,2019-06-01T00:00:00.000+02:00,20
6,153082.682,1,2019-07-01T00:00:00.000+02:00,20
7,134540.513,1,2019-08-01T00:00:00.000+02:00,20
8,136656.05,1,2019-09-01T00:00:00.000+02:00,20
9,148673.966,1,2019-10-01T00:00:00.000+02:00,20
10,145490.168,1,2019-11-01T00:00:00.000+01:00,20
11,141234.636,1,2019-12-01T00:00:00.000+01:00,20
