,value,percentage,datetime,type,COD-CCAA
0,25288.605,0.029516851640872945,2019-01-01T00:00:00.000+01:00,Hidráulica,4
1,33933.35,0.030778936748900622,2019-02-01T00:00:00.000+01:00,Hidráulica,4
2,35913.0,0.0296445386297287,2019-03-01T00:00:00.000+01:00,Hidráulica,4
3,44050.848,0.04133966138114282,2019-04-01T00:00:00.000+02:00,Hidráulica,4
4,88535.452,0.06849683355574686,2019-05-01T00:00:00.000+02:00,Hidráulica,4
5,92464.391,0.07917400147359059,2019-06-01T00:00:00.000+02:00,Hidráulica,4
6,91236.63,0.07928337341934863,2019-07-01T00:00:00.000+02:00,Hidráulica,4
7,80161.437,0.06657043839804141,2019-08-01T00:00:00.000+02:00,Hidráulica,4
8,40095.141,0.0450968948847209,2019-09-01T00:00:00.000+02:00,Hidráulica,4
9,21984.146,0.024585815743516495,2019-10-01T00:00:00.000+02:00,Hidráulica,4
10,21611.63,0.020632410889311878,2019-11-01T00:00:00.000+01:00,Hidráulica,4
11,33252.448,0.033000879163056496,2019-12-01T00:00:00.000+01:00,Hidráulica,4
0,547209.843,0.6387031531496647,2019-01-01T00:00:00.000+01:00,Eólica,4
1,714535.96,0.6481133491875982,2019-02-01T00:00:00.000+01:00,Eólica,4
2,705153.705,0.5820721256305187,2019-03-01T00:00:00.000+01:00,Eólica,4
3,607656.868,0.5702575614218778,2019-04-01T00:00:00.000+02:00,Eólica,4
4,612356.002,0.47375877344429873,2019-05-01T00:00:00.000+02:00,Eólica,4
5,454884.57,0.3895016365326369,2019-06-01T00:00:00.000+02:00,Eólica,4
6,456346.421,0.39655874734441937,2019-07-01T00:00:00.000+02:00,Eólica,4
7,495339.705,0.4113571631432519,2019-08-01T00:00:00.000+02:00,Eólica,4
8,375841.662,0.4227268317752717,2019-09-01T00:00:00.000+02:00,Eólica,4
9,430931.821,0.48192958457990737,2019-10-01T00:00:00.000+02:00,Eólica,4
10,764217.456,0.7295908990194919,2019-11-01T00:00:00.000+01:00,Eólica,4
11,684672.055,0.6794922212456832,2019-12-01T00:00:00.000+01:00,Eólica,4
0,100175.137,0.11692438776014423,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,4
1,119956.735,0.10880566637746152,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,4
2,147364.111,0.12164233233578728,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,4
3,132367.448,0.1242206615002288,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,4
4,172457.989,0.13342481346220295,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,4
5,166634.356,0.1426831302819571,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,4
6,175669.523,0.15265439320158855,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,4
7,182499.378,0.15155745774405058,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,4
8,169840.831,0.19102798772401489,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,4
9,174440.057,0.19508381629609425,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,4
10,101305.46,0.09671532762918618,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,4
11,120605.521,0.11969308921010786,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,4
0,74526.679,0.08698751581314831,2019-01-01T00:00:00.000+01:00,Solar térmica,4
1,125159.24,0.11352455126005753,2019-02-01T00:00:00.000+01:00,Solar térmica,4
2,194932.656,0.16090799017034546,2019-03-01T00:00:00.000+01:00,Solar térmica,4
3,170591.365,0.16009202055876287,2019-04-01T00:00:00.000+02:00,Solar térmica,4
4,330398.724,0.25561812690422747,2019-05-01T00:00:00.000+02:00,Solar térmica,4
5,341081.315,0.29205591735768005,2019-06-01T00:00:00.000+02:00,Solar térmica,4
6,296144.8,0.2573457476958357,2019-07-01T00:00:00.000+02:00,Solar térmica,4
7,311366.833,0.25857603544981045,2019-08-01T00:00:00.000+02:00,Solar térmica,4
8,183963.277,0.20691216837266624,2019-09-01T00:00:00.000+02:00,Solar térmica,4
9,138110.375,0.154454770816113,2019-10-01T00:00:00.000+02:00,Solar térmica,4
10,35561.83,0.033950529808989785,2019-11-01T00:00:00.000+01:00,Solar térmica,4
11,38142.147,0.03785358552147914,2019-12-01T00:00:00.000+01:00,Solar térmica,4
0,109551.171,0.12786809163616983,2019-01-01T00:00:00.000+01:00,Otras renovables,4
1,108900.817,0.09877749642598216,2019-02-01T00:00:00.000+01:00,Otras renovables,4
2,128090.7,0.10573301323361986,2019-03-01T00:00:00.000+01:00,Otras renovables,4
3,110916.655,0.10409009513798785,2019-04-01T00:00:00.000+02:00,Otras renovables,4
4,88799.932,0.06870145263352401,2019-05-01T00:00:00.000+02:00,Otras renovables,4
5,112798.42,0.09658531435413542,2019-06-01T00:00:00.000+02:00,Otras renovables,4
6,131368.872,0.11415773833880768,2019-07-01T00:00:00.000+02:00,Otras renovables,4
7,134792.315,0.11193890526484565,2019-08-01T00:00:00.000+02:00,Otras renovables,4
8,119347.819,0.1342361172433262,2019-09-01T00:00:00.000+02:00,Otras renovables,4
9,128713.653,0.14394601256436887,2019-10-01T00:00:00.000+02:00,Otras renovables,4
10,124763.861,0.11911083265302033,2019-11-01T00:00:00.000+01:00,Otras renovables,4
11,130950.924,0.12996022485967335,2019-12-01T00:00:00.000+01:00,Otras renovables,4
0,856751.4349999999,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,4
1,1102486.102,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,4
2,1211454.172,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,4
3,1065583.184,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,4
4,1292548.099,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,4
5,1167863.052,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,4
6,1150766.246,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,4
7,1204159.668,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,4
8,889088.7300000001,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,4
9,894180.052,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,4
10,1047460.237,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,4
11,1007623.095,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,4
