,value,percentage,datetime,type,COD-CCAA
0,292.916,0.003855093312839237,2019-01-01T00:00:00.000+01:00,Hidráulica,8742
1,265.049,0.0036896073690305207,2019-02-01T00:00:00.000+01:00,Hidráulica,8742
2,298.315,0.002387959213466119,2019-03-01T00:00:00.000+01:00,Hidráulica,8742
3,296.753,0.003142676882337196,2019-04-01T00:00:00.000+02:00,Hidráulica,8742
4,305.942,0.0023869668871014174,2019-05-01T00:00:00.000+02:00,Hidráulica,8742
5,276.681,0.002762214889797927,2019-06-01T00:00:00.000+02:00,Hidráulica,8742
6,298.419,0.0015482570892157625,2019-07-01T00:00:00.000+02:00,Hidráulica,8742
7,299.29,0.0015692048407722674,2019-08-01T00:00:00.000+02:00,Hidráulica,8742
8,282.539,0.002225773690307081,2019-09-01T00:00:00.000+02:00,Hidráulica,8742
9,297.947,0.0026467071109852348,2019-10-01T00:00:00.000+02:00,Hidráulica,8742
10,296.523,0.0020212009648499043,2019-11-01T00:00:00.000+01:00,Hidráulica,8742
11,299.145,0.003385159331130674,2019-12-01T00:00:00.000+01:00,Hidráulica,8742
0,1109.656,0.014604280493902472,2019-01-01T00:00:00.000+01:00,Hidroeólica,8742
1,972.545,0.013538286123372613,2019-02-01T00:00:00.000+01:00,Hidroeólica,8742
2,1955.158,0.015650696612245413,2019-03-01T00:00:00.000+01:00,Hidroeólica,8742
3,1548.369,0.016397554402575752,2019-04-01T00:00:00.000+02:00,Hidroeólica,8742
4,2031.012,0.015846004769876722,2019-05-01T00:00:00.000+02:00,Hidroeólica,8742
5,1372.141,0.013698621521182222,2019-06-01T00:00:00.000+02:00,Hidroeólica,8742
6,3727.338,0.01933817043285884,2019-07-01T00:00:00.000+02:00,Hidroeólica,8742
7,3475.119,0.018220366724780918,2019-08-01T00:00:00.000+02:00,Hidroeólica,8742
8,2218.351,0.01747563094534349,2019-09-01T00:00:00.000+02:00,Hidroeólica,8742
9,1582.837,0.014060574341847832,2019-10-01T00:00:00.000+02:00,Hidroeólica,8742
10,2096.522,0.01429060237900281,2019-11-01T00:00:00.000+01:00,Hidroeólica,8742
11,1159.67,0.013122959506367512,2019-12-01T00:00:00.000+01:00,Hidroeólica,8742
0,55716.046,0.7332837958747331,2019-01-01T00:00:00.000+01:00,Eólica,8742
1,48413.317,0.6739362576822044,2019-02-01T00:00:00.000+01:00,Eólica,8742
2,96842.352,0.7752060295731996,2019-03-01T00:00:00.000+01:00,Eólica,8742
