,value,percentage,datetime,type,COD-CCAA
0,18324.586,0.5222924662476366,2019-01-01T00:00:00.000+01:00,Hidráulica,6
1,33896.027,0.6841095353028828,2019-02-01T00:00:00.000+01:00,Hidráulica,6
2,20897.705,0.585801231287587,2019-03-01T00:00:00.000+01:00,Hidráulica,6
3,18934.539,0.5382456817204587,2019-04-01T00:00:00.000+02:00,Hidráulica,6
4,16525.627,0.5085280456423915,2019-05-01T00:00:00.000+02:00,Hidráulica,6
5,12824.067,0.47592558906663907,2019-06-01T00:00:00.000+02:00,Hidráulica,6
6,9794.195,0.44141460061720195,2019-07-01T00:00:00.000+02:00,Hidráulica,6
7,5418.636,0.3025683462878585,2019-08-01T00:00:00.000+02:00,Hidráulica,6
8,7280.188,0.33039705075602693,2019-09-01T00:00:00.000+02:00,Hidráulica,6
9,14203.371,0.44099026445420536,2019-10-01T00:00:00.000+02:00,Hidráulica,6
10,33469.68,0.6511028005926668,2019-11-01T00:00:00.000+01:00,Hidráulica,6
11,38335.339,0.6964404577151154,2019-12-01T00:00:00.000+01:00,Hidráulica,6
0,5866.649,0.16721286771877034,2019-01-01T00:00:00.000+01:00,Eólica,6
1,7484.663,0.1510598668932108,2019-02-01T00:00:00.000+01:00,Eólica,6
2,6076.595,0.1703381702936277,2019-03-01T00:00:00.000+01:00,Eólica,6
3,7105.364,0.20198175884039243,2019-04-01T00:00:00.000+02:00,Eólica,6
4,5754.385,0.17707444068076164,2019-05-01T00:00:00.000+02:00,Eólica,6
5,4296.882,0.15946548758672566,2019-06-01T00:00:00.000+02:00,Eólica,6
6,2413.11,0.1087564610358867,2019-07-01T00:00:00.000+02:00,Eólica,6
7,2399.185,0.13396682078084518,2019-08-01T00:00:00.000+02:00,Eólica,6
8,5213.13,0.23658767839618522,2019-09-01T00:00:00.000+02:00,Eólica,6
9,8345.171,0.25910322036969713,2019-10-01T00:00:00.000+02:00,Eólica,6
10,10825.523,0.21059443481922527,2019-11-01T00:00:00.000+01:00,Eólica,6
11,7131.698,0.12956199551035597,2019-12-01T00:00:00.000+01:00,Eólica,6
0,72.563,0.002068210885000472,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,6
1,147.208,0.002971038360126004,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,6
2,223.291,0.006259258743265664,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,6
3,205.894,0.005852878509064949,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,6
4,248.167,0.0076366167227988006,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,6
5,229.48,0.00851644054721582,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,6
6,243.172,0.010959519517559762,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,6
7,214.338,0.011968306084159743,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,6
8,198.345,0.009001498729456459,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,6
9,143.967,0.004469927977145608,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,6
10,63.824,0.0012416009099885737,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,6
11,83.764,0.0015217457317919878,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,6
0,7329.449,0.20890600172065407,2019-01-01T00:00:00.000+01:00,Otras renovables,6
1,4915.641,0.09921035524977005,2019-02-01T00:00:00.000+01:00,Otras renovables,6
2,4988.758,0.1398440919228116,2019-03-01T00:00:00.000+01:00,Otras renovables,6
3,6202.597,0.1763191092586026,2019-04-01T00:00:00.000+02:00,Otras renovables,6
4,6463.383,0.19889178941460176,2019-05-01T00:00:00.000+02:00,Otras renovables,6
5,6214.583,0.23063502982934517,2019-06-01T00:00:00.000+02:00,Otras renovables,6
6,6304.203,0.2841241418467538,2019-07-01T00:00:00.000+02:00,Otras renovables,6
