,value,percentage,datetime,type,COD-CCAA
0,1156726.799,0.4080999685617893,2021-01-01T00:00:00.000+01:00,Hidráulica,8
1,1448328.696,0.46684870463552225,2021-02-01T00:00:00.000+01:00,Hidráulica,8
2,1206854.01,0.45787884220914166,2021-03-01T00:00:00.000+01:00,Hidráulica,8
3,688403.318,0.41265639253471764,2021-04-01T00:00:00.000+02:00,Hidráulica,8
4,290441.517,0.17963946606847653,2021-05-01T00:00:00.000+02:00,Hidráulica,8
5,437704.852,0.30704791687288,2021-06-01T00:00:00.000+02:00,Hidráulica,8
6,621623.371,0.3659361409128856,2021-07-01T00:00:00.000+02:00,Hidráulica,8
7,890971.875,0.46360179709342664,2021-08-01T00:00:00.000+02:00,Hidráulica,8
8,670404.721,0.42076179303761996,2021-09-01T00:00:00.000+02:00,Hidráulica,8
9,436414.186,0.271740379909345,2021-10-01T00:00:00.000+02:00,Hidráulica,8
10,418506.807,0.22479702854509442,2021-11-01T00:00:00.000+01:00,Hidráulica,8
11,499906.223,0.2367874386618515,2021-12-01T00:00:00.000+01:00,Hidráulica,8
0,1572457.728,0.5547722676748864,2021-01-01T00:00:00.000+01:00,Eólica,8
1,1543768.847,0.4976125160463048,2021-02-01T00:00:00.000+01:00,Eólica,8
2,1236567.347,0.4691520436328417,2021-03-01T00:00:00.000+01:00,Eólica,8
3,803095.193,0.4814072746891566,2021-04-01T00:00:00.000+02:00,Eólica,8
4,1117194.048,0.6909898569273757,2021-05-01T00:00:00.000+02:00,Eólica,8
5,781909.447,0.5485058385520835,2021-06-01T00:00:00.000+02:00,Eólica,8
6,861972.109,0.5074242087046646,2021-07-01T00:00:00.000+02:00,Eólica,8
7,800036.86,0.41628533564764003,2021-08-01T00:00:00.000+02:00,Eólica,8
8,741561.983,0.4654217666459617,2021-09-01T00:00:00.000+02:00,Eólica,8
9,983641.903,0.61248060441365,2021-10-01T00:00:00.000+02:00,Eólica,8
10,1301057.976,0.6988511586376535,2021-11-01T00:00:00.000+01:00,Eólica,8
11,1513642.083,0.7169573319841623,2021-12-01T00:00:00.000+01:00,Eólica,8
0,56869.972,0.02006405817291853,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,8
1,66556.204,0.021453470961855167,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,8
2,135179.263,0.05128683661839518,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,8
3,126849.586,0.07603869880429952,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,8
4,167113.864,0.10336072339685516,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,8
5,167295.625,0.1173571024481047,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,8
6,194047.762,0.11423169155437382,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,8
7,177050.785,0.09212531215174655,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,8
8,122419.615,0.07683343374065398,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,8
9,125618.954,0.07821868165342942,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,8
10,87594.565,0.04705060371622613,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,8
11,59680.733,0.028268597697636257,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,8
0,48365.712,0.01706370559040584,2021-01-01T00:00:00.000+01:00,Otras renovables,8
1,43697.575,0.014085308356317742,2021-02-01T00:00:00.000+01:00,Otras renovables,8
2,57149.056,0.02168227753962171,2021-03-01T00:00:00.000+01:00,Otras renovables,8
3,49875.952,0.029897633971826286,2021-04-01T00:00:00.000+02:00,Otras renovables,8
4,42052.955,0.026009953607292552,2021-05-01T00:00:00.000+02:00,Otras renovables,8
5,38616.282,0.0270891421269319,2021-06-01T00:00:00.000+02:00,Otras renovables,8
6,21077.659,0.012407958828075901,2021-07-01T00:00:00.000+02:00,Otras renovables,8
7,53787.808,0.027987555107186955,2021-08-01T00:00:00.000+02:00,Otras renovables,8
8,58925.46,0.036983006575764484,2021-09-01T00:00:00.000+02:00,Otras renovables,8
9,60321.777,0.03756033402357546,2021-10-01T00:00:00.000+02:00,Otras renovables,8
10,54550.345,0.029301209101026043,2021-11-01T00:00:00.000+01:00,Otras renovables,8
11,37973.421,0.017986631656350005,2021-12-01T00:00:00.000+01:00,Otras renovables,8
0,2834420.2109999997,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable,8
1,3102351.322,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable,8
2,2635749.6759999995,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable,8
3,1668224.0489999999,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable,8
4,1616802.384,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable,8
5,1425526.206,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable,8
6,1698720.901,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable,8
7,1921847.3279999997,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable,8
8,1593311.7789999999,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable,8
9,1605996.82,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable,8
10,1861709.693,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable,8
11,2111202.46,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable,8
