,value,percentage,datetime,type,COD-CCAA
0,434119.206,0.663721458717251,2020-01-01T00:00:00.000+01:00,Hidráulica,9
1,406285.139,0.5839595175371912,2020-02-01T00:00:00.000+01:00,Hidráulica,9
2,500662.199,0.5985804178848776,2020-03-01T00:00:00.000+01:00,Hidráulica,9
3,613669.748,0.7394649438919824,2020-04-01T00:00:00.000+02:00,Hidráulica,9
4,685757.911,0.7300615866887863,2020-05-01T00:00:00.000+02:00,Hidráulica,9
5,599007.761,0.7126011544605362,2020-06-01T00:00:00.000+02:00,Hidráulica,9
6,387663.473,0.6123043502283294,2020-07-01T00:00:00.000+02:00,Hidráulica,9
7,258781.222,0.5105267170490645,2020-08-01T00:00:00.000+02:00,Hidráulica,9
8,269449.295,0.5270638116799456,2020-09-01T00:00:00.000+02:00,Hidráulica,9
9,328697.622,0.4695141241644054,2020-10-01T00:00:00.000+02:00,Hidráulica,9
10,328941.025,0.640669029257656,2020-11-01T00:00:00.000+01:00,Hidráulica,9
11,322965.905,0.4376575072311753,2020-12-01T00:00:00.000+01:00,Hidráulica,9
0,178517.73,0.27293436117289027,2020-01-01T00:00:00.000+01:00,Eólica,9
1,235595.27,0.3386244954513197,2020-02-01T00:00:00.000+01:00,Eólica,9
2,286130.731,0.3420914398446237,2020-03-01T00:00:00.000+01:00,Eólica,9
3,161111.147,0.19413706747807277,2020-04-01T00:00:00.000+02:00,Eólica,9
4,186869.432,0.1989422095482793,2020-05-01T00:00:00.000+02:00,Eólica,9
5,176770.227,0.21029221328311146,2020-06-01T00:00:00.000+02:00,Eólica,9
6,172086.175,0.27180562757496,2020-07-01T00:00:00.000+02:00,Eólica,9
7,171917.919,0.3391617448540257,2020-08-01T00:00:00.000+02:00,Eólica,9
8,173345.412,0.33907712983977417,2020-09-01T00:00:00.000+02:00,Eólica,9
9,310970.245,0.44419220721458574,2020-10-01T00:00:00.000+02:00,Eólica,9
10,134851.803,0.26264700099859745,2020-11-01T00:00:00.000+01:00,Eólica,9
11,367808.354,0.49842439978437253,2020-12-01T00:00:00.000+01:00,Eólica,9
0,16434.865,0.02512713655801972,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,9
1,27740.567,0.03987191892226244,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,9
2,28960.839,0.034624925040359716,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,9
3,33063.956,0.039841684306698086,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,9
4,42802.705,0.045567991598236254,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,9
5,41820.541,0.04975121815953264,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,9
6,46636.543,0.07366120397551755,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,9
7,41982.718,0.08282401260682148,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,9
8,35251.004,0.06895370995045659,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,9
9,30117.976,0.04302074057367103,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,9
10,18316.33,0.03567419223753827,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,9
11,16917.896,0.022925776610866314,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,9
0,31.505,4.8167748092875185e-05,2020-01-01T00:00:00.000+01:00,Solar térmica,9
1,1114.092,0.0016013005752889338,2020-02-01T00:00:00.000+01:00,Solar térmica,9
2,1226.105,0.0014659034469481445,2020-03-01T00:00:00.000+01:00,Solar térmica,9
3,1482.45,0.0017863350925238525,2020-04-01T00:00:00.000+02:00,Solar térmica,9
4,2686.31,0.002859860177300898,2020-05-01T00:00:00.000+02:00,Solar térmica,9
5,6571.4,0.007817573546299956,2020-06-01T00:00:00.000+02:00,Solar térmica,9
6,10046.567,0.015868290688713857,2020-07-01T00:00:00.000+02:00,Solar térmica,9
7,10316.168,0.020351860698635288,2020-08-01T00:00:00.000+02:00,Solar térmica,9
8,9085.433,0.017771814722108533,2020-09-01T00:00:00.000+02:00,Solar térmica,9
9,5682.275,0.00811660380641968,2020-10-01T00:00:00.000+02:00,Solar térmica,9
10,7080.435,0.013790360804560427,2020-11-01T00:00:00.000+01:00,Solar térmica,9
11,4573.995,0.0061983113969502745,2020-12-01T00:00:00.000+01:00,Solar térmica,9
0,13158.289,0.020117605138398685,2020-01-01T00:00:00.000+01:00,Otras renovables,9
1,13172.481,0.018932997816412424,2020-02-01T00:00:00.000+01:00,Otras renovables,9
2,11537.489,0.013793961279194114,2020-03-01T00:00:00.000+01:00,Otras renovables,9
3,13844.861,0.01668289726831588,2020-04-01T00:00:00.000+02:00,Otras renovables,9
