,value,percentage,datetime,type,COD-CCAA
0,90353.729,0.4032418008504191,2020-01-01T00:00:00.000+01:00,Hidráulica,16
1,60864.594,0.20684676782343694,2020-02-01T00:00:00.000+01:00,Hidráulica,16
2,44749.996,0.13644730899324933,2020-03-01T00:00:00.000+01:00,Hidráulica,16
3,67563.233,0.20734928552761145,2020-04-01T00:00:00.000+02:00,Hidráulica,16
4,77545.154,0.13543145999625023,2020-05-01T00:00:00.000+02:00,Hidráulica,16
5,159563.077,0.20691855467453468,2020-06-01T00:00:00.000+02:00,Hidráulica,16
6,228071.039,0.2521821510046108,2020-07-01T00:00:00.000+02:00,Hidráulica,16
7,177582.114,0.21311067370860054,2020-08-01T00:00:00.000+02:00,Hidráulica,16
8,108363.01,0.19115516525312504,2020-09-01T00:00:00.000+02:00,Hidráulica,16
9,74508.786,0.1632706722889579,2020-10-01T00:00:00.000+02:00,Hidráulica,16
10,195736.08,0.5113581211940771,2020-11-01T00:00:00.000+01:00,Hidráulica,16
11,185891.969,0.5225422079004678,2020-12-01T00:00:00.000+01:00,Hidráulica,16
0,8964.814,0.04000928109617976,2020-01-01T00:00:00.000+01:00,Eólica,16
1,7850.162,0.02667857501177725,2020-02-01T00:00:00.000+01:00,Eólica,16
2,14959.167,0.04561202825427334,2020-03-01T00:00:00.000+01:00,Eólica,16
3,7642.679,0.02345512433022381,2020-04-01T00:00:00.000+02:00,Eólica,16
4,8452.054,0.014761386806803516,2020-05-01T00:00:00.000+02:00,Eólica,16
5,7984.295,0.01035389146760509,2020-06-01T00:00:00.000+02:00,Eólica,16
6,7193.698,0.00795419814489277,2020-07-01T00:00:00.000+02:00,Eólica,16
7,8540.472,0.010249150101397255,2020-08-01T00:00:00.000+02:00,Eólica,16
8,9301.274,0.016407689012464633,2020-09-01T00:00:00.000+02:00,Eólica,16
9,11612.262,0.025445882631016416,2020-10-01T00:00:00.000+02:00,Eólica,16
10,12432.325,0.03247929739920282,2020-11-01T00:00:00.000+01:00,Eólica,16
11,11719.245,0.03294279032154701,2020-12-01T00:00:00.000+01:00,Eólica,16
0,76825.802,0.3428676944839512,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,16
1,123561.479,0.4199205298015047,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,16
2,146070.506,0.4453838938216281,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,16
3,149785.591,0.4596869317396494,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,16
4,238551.294,0.4166262927328087,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,16
5,294616.152,0.3820529755490553,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,16
6,311051.707,0.34393533211779664,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,16
7,320601.082,0.38474320998750067,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,16
8,247783.772,0.437097012012703,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,16
9,229362.496,0.5026007123481172,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,16
10,135168.009,0.35312477458312286,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,16
11,116642.502,0.3278819997334835,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,16
0,29216.231,0.13038981050247345,2020-01-01T00:00:00.000+01:00,Solar térmica,16
1,81318.692,0.27635949734306253,2020-02-01T00:00:00.000+01:00,Solar térmica,16
2,98693.205,0.3009256635055141,2020-03-01T00:00:00.000+01:00,Solar térmica,16
3,78392.442,0.24058376305741203,2020-04-01T00:00:00.000+02:00,Solar térmica,16
4,223575.263,0.3904708769697669,2020-05-01T00:00:00.000+02:00,Solar térmica,16
5,290880.773,0.3772090026301725,2020-06-01T00:00:00.000+02:00,Solar térmica,16
6,333760.534,0.36904488072493735,2020-07-01T00:00:00.000+02:00,Solar térmica,16
7,301869.388,0.36226389696364875,2020-08-01T00:00:00.000+02:00,Solar térmica,16
8,177447.823,0.31302257042668236,2020-09-01T00:00:00.000+02:00,Solar térmica,16
9,116974.163,0.2563248075662935,2020-10-01T00:00:00.000+02:00,Solar térmica,16
10,24972.566,0.06524052403192651,2020-11-01T00:00:00.000+01:00,Solar térmica,16
11,19370.897,0.05445157927932081,2020-12-01T00:00:00.000+01:00,Solar térmica,16
0,18707.784,0.08349141306697652,2020-01-01T00:00:00.000+01:00,Otras renovables,16
1,20654.747,0.07019463002021883,2020-02-01T00:00:00.000+01:00,Otras renovables,16
2,23492.524,0.07163110542533516,2020-03-01T00:00:00.000+01:00,Otras renovables,16
3,22458.668,0.06892489534510332,2020-04-01T00:00:00.000+02:00,Otras renovables,16
4,24454.822,0.042709983494370524,2020-05-01T00:00:00.000+02:00,Otras renovables,16
5,18095.233,0.023465575678632375,2020-06-01T00:00:00.000+02:00,Otras renovables,16
6,24313.115,0.026883438007762432,2020-07-01T00:00:00.000+02:00,Otras renovables,16
7,24692.818,0.02963306923885284,2020-08-01T00:00:00.000+02:00,Otras renovables,16
8,23989.195,0.042317563295025125,2020-09-01T00:00:00.000+02:00,Otras renovables,16
9,23893.608,0.05235792516561501,2020-10-01T00:00:00.000+02:00,Otras renovables,16
10,14467.927,0.037797282791670606,2020-11-01T00:00:00.000+01:00,Otras renovables,16
