,value,percentage,datetime,type,COD-CCAA
0,682471.103,0.4353367275235484,2019-01-01T00:00:00.000+01:00,Hidráulica,17
1,831425.924,0.5713145557240196,2019-02-01T00:00:00.000+01:00,Hidráulica,17
2,720905.331,0.45628195179310493,2019-03-01T00:00:00.000+01:00,Hidráulica,17
3,649832.949,0.4664694332001207,2019-04-01T00:00:00.000+02:00,Hidráulica,17
4,411861.408,0.37192547513999935,2019-05-01T00:00:00.000+02:00,Hidráulica,17
5,196211.605,0.34971081205642235,2019-06-01T00:00:00.000+02:00,Hidráulica,17
6,223655.948,0.2971521658599889,2019-07-01T00:00:00.000+02:00,Hidráulica,17
7,100744.514,0.17290114246467692,2019-08-01T00:00:00.000+02:00,Hidráulica,17
8,182363.938,0.1661549664021886,2019-09-01T00:00:00.000+02:00,Hidráulica,17
9,336069.117,0.29724918033646,2019-10-01T00:00:00.000+02:00,Hidráulica,17
10,1091922.758,0.4708742599958954,2019-11-01T00:00:00.000+01:00,Hidráulica,17
11,1627770.822,0.612119998044475,2019-12-01T00:00:00.000+01:00,Hidráulica,17
0,849921.958,0.5421507844356697,2019-01-01T00:00:00.000+01:00,Eólica,17
1,587518.76,0.40371367990797324,2019-02-01T00:00:00.000+01:00,Eólica,17
2,822102.355,0.5203324916362813,2019-03-01T00:00:00.000+01:00,Eólica,17
3,708751.959,0.5087632523142578,2019-04-01T00:00:00.000+02:00,Eólica,17
4,656796.125,0.5931102213410959,2019-05-01T00:00:00.000+02:00,Eólica,17
5,326500.612,0.5819268139590361,2019-06-01T00:00:00.000+02:00,Eólica,17
6,489352.054,0.6501594257360606,2019-07-01T00:00:00.000+02:00,Eólica,17
7,442170.629,0.7588681892735599,2019-08-01T00:00:00.000+02:00,Eólica,17
8,878082.577,0.8000363595996824,2019-09-01T00:00:00.000+02:00,Eólica,17
9,761881.368,0.6738751069221895,2019-10-01T00:00:00.000+02:00,Eólica,17
10,1190186.448,0.513248907812528,2019-11-01T00:00:00.000+01:00,Eólica,17
11,993504.519,0.3736054093169248,2019-12-01T00:00:00.000+01:00,Eólica,17
0,1002.144,0.0006392506401364204,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,17
1,1406.551,0.0009665119122123686,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,17
2,2013.269,0.0012742565067875085,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,17
3,1792.607,0.0012867866619065027,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,17
4,2603.223,0.002350802800077774,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,17
5,2039.299,0.003634672420705442,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,17
6,2419.486,0.0032145601831609725,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,17
7,2258.65,0.00387637152557848,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,17
8,2138.623,0.0019485367370820203,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,17
9,1286.176,0.0011376075409167297,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,17
10,588.352,0.00025371740866042563,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,17
11,744.803,0.00028008169500381866,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,17
0,22890.776,0.014601637300846395,2019-01-01T00:00:00.000+01:00,Otras renovables,17
1,21542.722,0.014803087434781577,2019-02-01T00:00:00.000+01:00,Otras renovables,17
2,19169.768,0.012133103727125866,2019-03-01T00:00:00.000+01:00,Otras renovables,17
3,17499.156,0.012561415042684286,2019-04-01T00:00:00.000+02:00,Otras renovables,17
4,22988.851,0.020759748704344858,2019-05-01T00:00:00.000+02:00,Otras renovables,17
5,21695.717,0.0386685935840356,2019-06-01T00:00:00.000+02:00,Otras renovables,17
6,22801.907,0.030294906580298236,2019-07-01T00:00:00.000+02:00,Otras renovables,17
7,22584.78,0.03876076333360828,2019-08-01T00:00:00.000+02:00,Otras renovables,17
8,22713.313,0.020694495851462658,2019-09-01T00:00:00.000+02:00,Otras renovables,17
9,21127.785,0.01868727727687919,2019-10-01T00:00:00.000+02:00,Otras renovables,17
10,20611.33,0.00888830706217518,2019-11-01T00:00:00.000+01:00,Otras renovables,17
11,22259.48,0.008370633426964716,2019-12-01T00:00:00.000+01:00,Otras renovables,17
0,11399.5825,0.007271600099798966,2019-01-01T00:00:00.000+01:00,Residuos renovables,17
1,13391.7795,0.009202165021013385,2019-02-01T00:00:00.000+01:00,Residuos renovables,17
2,15765.1095,0.009978196336700444,2019-03-01T00:00:00.000+01:00,Residuos renovables,17
3,15211.2845,0.010919112781030716,2019-04-01T00:00:00.000+02:00,Residuos renovables,17
4,13126.5625,0.011853752014482011,2019-05-01T00:00:00.000+02:00,Residuos renovables,17
5,14620.936,0.02605910797980058,2019-06-01T00:00:00.000+02:00,Residuos renovables,17
6,14435.3125,0.01917894164049136,2019-07-01T00:00:00.000+02:00,Residuos renovables,17
7,14912.6145,0.02559353340257621,2019-08-01T00:00:00.000+02:00,Residuos renovables,17
8,12254.887,0.01116564140958405,2019-09-01T00:00:00.000+02:00,Residuos renovables,17
9,10232.8415,0.009050827923554522,2019-10-01T00:00:00.000+02:00,Residuos renovables,17
10,15617.5235,0.006734807720740817,2019-11-01T00:00:00.000+01:00,Residuos renovables,17
11,14955.211,0.005623877516631584,2019-12-01T00:00:00.000+01:00,Residuos renovables,17
0,1567685.5635000002,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,17
1,1455285.7364999999,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,17
2,1579955.8325,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,17
3,1393087.9555000002,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,17
4,1107376.1695,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,17
5,561068.169,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,17
6,752664.7075,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,17
7,582671.1875000001,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,17
8,1097553.3380000002,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,17
9,1130597.2875,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,17
10,2318926.4115000004,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,17
11,2659234.835,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,17
