,value,percentage,datetime,type,COD-CCAA
0,5.053,0.009113092157113822,2019-01-01T00:00:00.000+01:00,Solar fotovoltaica,8745
1,5.526,0.01115860935376588,2019-02-01T00:00:00.000+01:00,Solar fotovoltaica,8745
2,6.561,0.012038642556353727,2019-03-01T00:00:00.000+01:00,Solar fotovoltaica,8745
3,7.925,0.016925243814277218,2019-04-01T00:00:00.000+02:00,Solar fotovoltaica,8745
4,8.683,0.01624442024837144,2019-05-01T00:00:00.000+02:00,Solar fotovoltaica,8745
5,8.663,0.018740880235110106,2019-06-01T00:00:00.000+02:00,Solar fotovoltaica,8745
6,8.167,0.0188056663381566,2019-07-01T00:00:00.000+02:00,Solar fotovoltaica,8745
7,8.012,0.019998053110156525,2019-08-01T00:00:00.000+02:00,Solar fotovoltaica,8745
8,6.704,0.017808663128310566,2019-09-01T00:00:00.000+02:00,Solar fotovoltaica,8745
9,6.582,0.020669870883965148,2019-10-01T00:00:00.000+02:00,Solar fotovoltaica,8745
10,4.882,0.010428482017170039,2019-11-01T00:00:00.000+01:00,Solar fotovoltaica,8745
11,3.615,0.008612823219123088,2019-12-01T00:00:00.000+01:00,Solar fotovoltaica,8745
0,549.424,0.9908869078428861,2019-01-01T00:00:00.000+01:00,Residuos renovables,8745
1,489.697,0.9888413906462341,2019-02-01T00:00:00.000+01:00,Residuos renovables,8745
2,538.434,0.9879613574436462,2019-03-01T00:00:00.000+01:00,Residuos renovables,8745
3,460.3105,0.9830747561857227,2019-04-01T00:00:00.000+02:00,Residuos renovables,8745
4,525.839,0.9837555797516285,2019-05-01T00:00:00.000+02:00,Residuos renovables,8745
5,453.5885,0.9812591197648899,2019-06-01T00:00:00.000+02:00,Residuos renovables,8745
6,426.117,0.9811943336618435,2019-07-01T00:00:00.000+02:00,Residuos renovables,8745
7,392.627,0.9800019468898434,2019-08-01T00:00:00.000+02:00,Residuos renovables,8745
8,369.742,0.9821913368716894,2019-09-01T00:00:00.000+02:00,Residuos renovables,8745
9,311.8525,0.9793301291160349,2019-10-01T00:00:00.000+02:00,Residuos renovables,8745
10,463.259,0.9895715179828299,2019-11-01T00:00:00.000+01:00,Residuos renovables,8745
11,416.108,0.9913871767808768,2019-12-01T00:00:00.000+01:00,Residuos renovables,8745
0,554.477,1.0,2019-01-01T00:00:00.000+01:00,Generación renovable,8745
1,495.223,1.0,2019-02-01T00:00:00.000+01:00,Generación renovable,8745
2,544.995,1.0,2019-03-01T00:00:00.000+01:00,Generación renovable,8745
3,468.2355,1.0,2019-04-01T00:00:00.000+02:00,Generación renovable,8745
4,534.522,1.0,2019-05-01T00:00:00.000+02:00,Generación renovable,8745
5,462.2515,1.0,2019-06-01T00:00:00.000+02:00,Generación renovable,8745
6,434.284,1.0,2019-07-01T00:00:00.000+02:00,Generación renovable,8745
7,400.639,1.0,2019-08-01T00:00:00.000+02:00,Generación renovable,8745
8,376.446,1.0,2019-09-01T00:00:00.000+02:00,Generación renovable,8745
9,318.4345,1.0,2019-10-01T00:00:00.000+02:00,Generación renovable,8745
10,468.141,1.0,2019-11-01T00:00:00.000+01:00,Generación renovable,8745
11,419.723,1.0,2019-12-01T00:00:00.000+01:00,Generación renovable,8745
