,value,percentage,datetime,type,COD-CCAA
0,28102.136,0.3254401150353787,2020-01-01T00:00:00.000+01:00,Hidráulica,10
1,20626.718,0.26896454133831715,2020-02-01T00:00:00.000+01:00,Hidráulica,10
2,43269.083,0.43698234401923236,2020-03-01T00:00:00.000+01:00,Hidráulica,10
3,31553.459,0.4558358242885003,2020-04-01T00:00:00.000+02:00,Hidráulica,10
4,32859.594,0.48755698689442206,2020-05-01T00:00:00.000+02:00,Hidráulica,10
5,19766.564,0.42621080704441716,2020-06-01T00:00:00.000+02:00,Hidráulica,10
6,20146.987,0.35460514712510516,2020-07-01T00:00:00.000+02:00,Hidráulica,10
7,19579.44,0.23731783804732398,2020-08-01T00:00:00.000+02:00,Hidráulica,10
8,18843.992,0.2300294828244356,2020-09-01T00:00:00.000+02:00,Hidráulica,10
9,27763.924,0.27978978542985156,2020-10-01T00:00:00.000+02:00,Hidráulica,10
10,18616.329,0.20574764045634011,2020-11-01T00:00:00.000+01:00,Hidráulica,10
11,70146.415,0.4870015912713746,2020-12-01T00:00:00.000+01:00,Hidráulica,10
0,35451.032,0.4105448757419326,2020-01-01T00:00:00.000+01:00,Eólica,10
1,29821.636,0.3888627676345915,2020-02-01T00:00:00.000+01:00,Eólica,10
2,30042.367,0.3034033319251539,2020-03-01T00:00:00.000+01:00,Eólica,10
3,27739.68,0.4007402135626153,2020-04-01T00:00:00.000+02:00,Eólica,10
4,21614.26,0.32070339881718046,2020-05-01T00:00:00.000+02:00,Eólica,10
5,14659.028,0.31608104242936247,2020-06-01T00:00:00.000+02:00,Eólica,10
6,20468.598,0.36026579087158955,2020-07-01T00:00:00.000+02:00,Eólica,10
7,20299.905,0.24605042673161553,2020-08-01T00:00:00.000+02:00,Eólica,10
8,22061.707,0.2693082788102559,2020-09-01T00:00:00.000+02:00,Eólica,10
9,31576.023,0.31820605401088325,2020-10-01T00:00:00.000+02:00,Eólica,10
10,34348.888,0.3796238591560718,2020-11-01T00:00:00.000+01:00,Eólica,10
11,38869.969,0.2698603593023108,2020-12-01T00:00:00.000+01:00,Eólica,10
0,1749.26,0.020257512654083893,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,10
1,3238.95,0.04223467355144635,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,10
2,4201.527,0.042431985834321784,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,10
3,4889.968,0.07064273346463819,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,10
4,8248.578,0.12238896913466485,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,10
5,7529.327,0.16234893111272758,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,10
6,8825.827,0.15534251756035408,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,10
7,7543.771,0.09143629360411225,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,10
8,6519.957,0.07958941697425678,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,10
9,3856.352,0.038862226341708,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,10
