,value,percentage,datetime,type,COD-CCAA
0,302912.562,0.6820195409700798,2021-01-01T00:00:00.000+01:00,Hidráulica,11
1,344254.166,0.680434909202303,2021-02-01T00:00:00.000+01:00,Hidráulica,11
2,179679.634,0.6275828476536112,2021-03-01T00:00:00.000+01:00,Hidráulica,11
3,98619.601,0.517449681159827,2021-04-01T00:00:00.000+02:00,Hidráulica,11
4,92174.276,0.415000392672021,2021-05-01T00:00:00.000+02:00,Hidráulica,11
5,101713.456,0.5254998684460869,2021-06-01T00:00:00.000+02:00,Hidráulica,11
6,57977.995,0.40415977324332963,2021-07-01T00:00:00.000+02:00,Hidráulica,11
7,39600.463,0.30241165049560914,2021-08-01T00:00:00.000+02:00,Hidráulica,11
8,40993.735,0.30861703726722745,2021-09-01T00:00:00.000+02:00,Hidráulica,11
9,32221.386,0.1700271000035856,2021-10-01T00:00:00.000+02:00,Hidráulica,11
10,111482.957,0.4207732770552805,2021-11-01T00:00:00.000+01:00,Hidráulica,11
11,330565.074,0.6146996873648486,2021-12-01T00:00:00.000+01:00,Hidráulica,11
0,123123.33,0.2772170175276774,2021-01-01T00:00:00.000+01:00,Eólica,11
1,145628.677,0.2878420812247963,2021-02-01T00:00:00.000+01:00,Eólica,11
2,94703.049,0.33077766160687677,2021-03-01T00:00:00.000+01:00,Eólica,11
3,70330.812,0.3690205179912636,2021-04-01T00:00:00.000+02:00,Eólica,11
4,105652.603,0.4756844711405289,2021-05-01T00:00:00.000+02:00,Eólica,11
5,68370.429,0.35323400519497167,2021-06-01T00:00:00.000+02:00,Eólica,11
6,61464.404,0.4284632399443341,2021-07-01T00:00:00.000+02:00,Eólica,11
7,69470.392,0.5305154110268094,2021-08-01T00:00:00.000+02:00,Eólica,11
8,70129.896,0.5279655715044941,2021-09-01T00:00:00.000+02:00,Eólica,11
9,135140.045,0.7131124013629973,2021-10-01T00:00:00.000+02:00,Eólica,11
10,130772.551,0.4935785371493941,2021-11-01T00:00:00.000+01:00,Eólica,11
11,187892.565,0.3493941436888746,2021-12-01T00:00:00.000+01:00,Eólica,11
0,23.39,5.2663504471267745e-05,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,11
1,24.798,4.9014439169920484e-05,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,11
2,45.651,0.00015944925944269791,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,11
3,54.865,0.0002878725574729704,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,11
4,61.976,0.0002790373350612613,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,11
5,53.238,0.00027505271275349026,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,11
6,63.984,0.0004460271337634426,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,11
7,64.999,0.00049636931948407,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,11
8,48.481,0.00036498412705630396,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,11
9,49.557,0.0002615043621921693,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,11
10,23.961,9.043667985521389e-05,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,11
11,22.249,4.137295322427352e-05,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,11
0,18081.309,0.04071077799777143,2021-01-01T00:00:00.000+01:00,Otras renovables,11
1,16024.905,0.03167399513373073,2021-02-01T00:00:00.000+01:00,Otras renovables,11
2,11875.912,0.041480041480069424,2021-03-01T00:00:00.000+01:00,Otras renovables,11
3,21582.531,0.11324192829143653,2021-04-01T00:00:00.000+02:00,Otras renovables,11
4,24217.624,0.10903609885238871,2021-05-01T00:00:00.000+02:00,Otras renovables,11
5,23418.503,0.12099107364618789,2021-06-01T00:00:00.000+02:00,Otras renovables,11
6,23946.773,0.1669309596785727,2021-07-01T00:00:00.000+02:00,Otras renovables,11
7,21813.013,0.1665765691580974,2021-08-01T00:00:00.000+02:00,Otras renovables,11
8,21658.322,0.16305240710122199,2021-09-01T00:00:00.000+02:00,Otras renovables,11
9,22096.367,0.11659899427122497,2021-10-01T00:00:00.000+02:00,Otras renovables,11
10,22668.338,0.08555774911547012,2021-11-01T00:00:00.000+01:00,Otras renovables,11
11,19286.896,0.03586479599305263,2021-12-01T00:00:00.000+01:00,Otras renovables,11
0,444140.591,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable,11
1,505932.54600000003,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable,11
2,286304.246,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable,11
3,190587.80899999998,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable,11
4,222106.47900000002,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable,11
5,193555.62600000002,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable,11
6,143453.15600000002,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable,11
7,130948.867,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable,11
8,132830.434,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable,11
9,189507.355,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable,11
10,264947.80700000003,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable,11
11,537766.784,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable,11
