,value,percentage,datetime,type,COD-CCAA
0,4268.739,0.021167631216432354,2021-01-01T00:00:00.000+01:00,Hidráulica,21
1,5952.294,0.03503003571262863,2021-02-01T00:00:00.000+01:00,Hidráulica,21
2,5158.942,0.02302135231897952,2021-03-01T00:00:00.000+01:00,Hidráulica,21
3,7721.173,0.04061641490489396,2021-04-01T00:00:00.000+02:00,Hidráulica,21
4,8313.676,0.029363160421986185,2021-05-01T00:00:00.000+02:00,Hidráulica,21
5,7742.809,0.02957211297531627,2021-06-01T00:00:00.000+02:00,Hidráulica,21
6,9297.514,0.033454128672779686,2021-07-01T00:00:00.000+02:00,Hidráulica,21
7,9706.571,0.04108826132093749,2021-08-01T00:00:00.000+02:00,Hidráulica,21
8,9516.188,0.043768650896302955,2021-09-01T00:00:00.000+02:00,Hidráulica,21
9,7692.472,0.041087405142496446,2021-10-01T00:00:00.000+02:00,Hidráulica,21
10,5692.786,0.029464514871221516,2021-11-01T00:00:00.000+01:00,Hidráulica,21
11,4910.772,0.029005203099331234,2021-12-01T00:00:00.000+01:00,Hidráulica,21
0,73736.704,0.36564225580135784,2021-01-01T00:00:00.000+01:00,Eólica,21
1,43177.352,0.2541044146234607,2021-02-01T00:00:00.000+01:00,Eólica,21
2,38065.238,0.16986297870838774,2021-03-01T00:00:00.000+01:00,Eólica,21
3,21960.493,0.11552085352886401,2021-04-01T00:00:00.000+02:00,Eólica,21
4,36292.234,0.12818092610468115,2021-05-01T00:00:00.000+02:00,Eólica,21
5,20371.082,0.07780328022213019,2021-06-01T00:00:00.000+02:00,Eólica,21
6,23447.522,0.08436840407509283,2021-07-01T00:00:00.000+02:00,Eólica,21
7,18787.264,0.07952715873993416,2021-08-01T00:00:00.000+02:00,Eólica,21
8,23505.07,0.10810896160554664,2021-09-01T00:00:00.000+02:00,Eólica,21
9,19989.18,0.10676717927946792,2021-10-01T00:00:00.000+02:00,Eólica,21
10,57900.385,0.2996787082602352,2021-11-01T00:00:00.000+01:00,Eólica,21
11,61787.66,0.3649453950076332,2021-12-01T00:00:00.000+01:00,Eólica,21
0,118529.474,0.5877586317434041,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,21
1,116319.166,0.6845536425188639,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,21
2,174040.138,0.7766397324377393,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,21
3,154301.889,0.8116887866950908,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,21
4,229879.846,0.811915065715753,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,21
5,224770.714,0.8584668623429175,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,21
6,234987.287,0.8455265499751234,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,21
7,200129.027,0.8471533108119186,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,21
8,177982.873,0.8186124773762377,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,21
9,154130.84,0.8232511302001876,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,21
10,125634.468,0.6502543132174656,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,21
11,98776.197,0.5834161421797943,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,21
0,1173.532,0.005819257770663021,2021-01-01T00:00:00.000+01:00,Solar térmica,21
1,1081.976,0.006367571548079964,2021-02-01T00:00:00.000+01:00,Solar térmica,21
2,2883.413,0.012866992215482495,2021-03-01T00:00:00.000+01:00,Solar térmica,21
3,1670.882,0.008789498249698465,2021-04-01T00:00:00.000+02:00,Solar térmica,21
4,5392.486,0.019045778484910236,2021-05-01T00:00:00.000+02:00,Solar térmica,21
5,5344.01,0.020410379161002152,2021-06-01T00:00:00.000+02:00,Solar térmica,21
6,6266.066,0.022546433190219442,2021-07-01T00:00:00.000+02:00,Solar térmica,21
7,3752.158,0.015883018670697014,2021-08-01T00:00:00.000+02:00,Solar térmica,21
8,3100.197,0.014259012138344233,2021-09-01T00:00:00.000+02:00,Solar térmica,21
9,2143.555,0.011449260098733406,2021-10-01T00:00:00.000+02:00,Solar térmica,21
10,1308.514,0.006772559202506742,2021-11-01T00:00:00.000+01:00,Solar térmica,21
11,876.398,0.005176396294889622,2021-12-01T00:00:00.000+01:00,Solar térmica,21
0,3955.07,0.01961222346814249,2021-01-01T00:00:00.000+01:00,Otras renovables,21
1,3388.936,0.019944335596966956,2021-02-01T00:00:00.000+01:00,Otras renovables,21
2,3946.055,0.01760894431941098,2021-03-01T00:00:00.000+01:00,Otras renovables,21
3,4445.379,0.023384446621452806,2021-04-01T00:00:00.000+02:00,Otras renovables,21
4,3254.632,0.011495069272669484,2021-05-01T00:00:00.000+02:00,Otras renovables,21
5,3599.446,0.013747365298633898,2021-06-01T00:00:00.000+02:00,Otras renovables,21
6,3919.894,0.014104484086784603,2021-07-01T00:00:00.000+02:00,Otras renovables,21
7,3862.063,0.01634825045651279,2021-08-01T00:00:00.000+02:00,Otras renovables,21
8,3315.853,0.015250897983568509,2021-09-01T00:00:00.000+02:00,Otras renovables,21
9,3266.095,0.01744502527911469,2021-10-01T00:00:00.000+02:00,Otras renovables,21
10,2672.051,0.013829904448570931,2021-11-01T00:00:00.000+01:00,Otras renovables,21
11,2955.562,0.017456863418351662,2021-12-01T00:00:00.000+01:00,Otras renovables,21
0,201663.51900000003,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable,21
1,169919.724,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable,21
2,224093.786,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable,21
3,190099.816,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable,21
4,283132.87399999995,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable,21
5,261828.06100000002,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable,21
6,277918.283,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable,21
7,236237.08299999998,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable,21
8,217420.18099999998,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable,21
9,187222.142,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable,21
10,193208.204,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable,21
11,169306.589,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable,21
